project_name,description,compliance_framework,scan_type,file_count,lines_of_code,issues_found,critical,high,medium,score
Project_1,Web application security audit,OWASP,standard,54,156222,37,2,21,14,40
Project_2,Web application security audit,ISO 27001,standard,327,473324,2,1,1,0,86
Project_3,Web application security audit,ISO 27001,deep,453,418540,18,4,5,9,40
Project_4,Web application security audit,GDPR,standard,240,145324,17,2,13,2,40
Project_5,Web application security audit,GDPR,standard,283,437158,13,2,4,7,57
Project_6,Web application security audit,PCI-DSS,deep,461,218986,2,2,0,0,80
Project_7,Web application security audit,ISO 27001,standard,359,225337,13,5,0,8,42
Project_8,Web application security audit,ISO 27001,deep,396,119998,14,2,5,7,53
Project_9,Web application security audit,OWASP,standard,13,146693,27,4,10,13,40
Project_10,Web application security audit,PCI-DSS,deep,54,250794,22,0,3,19,69
Project_11,Web application security audit,PCI-DSS,standard,224,336016,12,0,5,7,73
Project_12,Web application security audit,PCI-DSS,standard,365,37197,29,1,0,28,62
Project_13,Web application security audit,GDPR,deep,155,471920,12,3,4,5,49
Project_14,Web application security audit,ISO 27001,standard,330,324100,22,3,17,2,40
Project_15,Web application security audit,PCI-DSS,deep,447,369637,5,5,0,0,50
Project_16,Web application security audit,GDPR,standard,124,113219,3,1,1,1,85
Project_17,Web application security audit,ISO 27001,standard,76,130705,27,2,21,4,40
Project_18,Web application security audit,GDPR,deep,414,478341,33,4,2,27,40
Project_19,Web application security audit,PCI-DSS,standard,144,417911,24,1,20,3,40
Project_20,Web application security audit,OWASP,standard,470,369919,28,3,2,23,40
Project_21,Web application security audit,GDPR,deep,80,74635,13,1,2,10,72
Project_22,Web application security audit,PCI-DSS,deep,22,251028,9,5,1,3,43
Project_23,Web application security audit,PCI-DSS,deep,124,276259,2,2,0,0,80
Project_24,Web application security audit,GDPR,standard,473,125111,5,0,3,2,86
Project_25,Web application security audit,PCI-DSS,deep,175,322404,28,0,17,11,40
Project_26,Web application security audit,OWASP,standard,255,188885,15,3,6,6,40
Project_27,Web application security audit,GDPR,deep,196,457774,0,0,0,0,100
Project_28,Web application security audit,OWASP,deep,354,118564,17,5,0,12,40
Project_29,Web application security audit,ISO 27001,standard,211,250143,31,5,23,3,40
Project_30,Web application security audit,GDPR,deep,331,47406,12,1,6,5,61
Project_31,Web application security audit,OWASP,deep,476,225150,25,4,14,7,40
Project_32,Web application security audit,ISO 27001,standard,401,175207,9,1,2,6,76
Project_33,Web application security audit,PCI-DSS,deep,261,9726,27,4,3,20,40
Project_34,Web application security audit,ISO 27001,deep,357,18279,2,2,0,0,80
Project_35,Web application security audit,GDPR,standard,51,116228,18,5,11,2,40
Project_36,Web application security audit,ISO 27001,standard,475,204604,18,2,13,3,40
Project_37,Web application security audit,OWASP,standard,399,34109,33,2,11,20,40
Project_38,Web application security audit,PCI-DSS,deep,255,128199,21,3,2,16,46
Project_39,Web application security audit,PCI-DSS,standard,393,278841,11,3,5,3,47
Project_40,Web application security audit,ISO 27001,deep,27,103922,33,1,0,32,58
Project_41,Web application security audit,PCI-DSS,deep,452,491443,8,1,2,5,77
Project_42,Web application security audit,OWASP,deep,297,379623,23,5,2,16,40
Project_43,Web application security audit,PCI-DSS,standard,299,311461,4,0,1,3,93
Project_44,Web application security audit,PCI-DSS,standard,161,51960,23,1,21,1,40
Project_45,Web application security audit,OWASP,deep,163,271782,18,5,7,6,40
Project_46,Web application security audit,GDPR,deep,263,32263,17,5,0,12,40
Project_47,Web application security audit,GDPR,deep,182,481218,35,4,29,2,40
Project_48,Web application security audit,OWASP,deep,333,194566,11,3,1,7,59
Project_49,Web application security audit,ISO 27001,deep,331,234945,18,3,0,15,55
Project_50,Web application security audit,PCI-DSS,standard,334,213745,34,4,5,25,40
Project_51,Web application security audit,ISO 27001,standard,118,404565,30,3,27,0,40
Project_52,Web application security audit,ISO 27001,standard,202,90903,21,1,13,7,40
Project_53,Web application security audit,ISO 27001,deep,336,392958,29,2,26,1,40
Project_54,Web application security audit,ISO 27001,standard,242,187674,35,2,9,24,40
Project_55,Web application security audit,OWASP,standard,364,269154,23,4,8,11,40
Project_56,Web application security audit,ISO 27001,deep,252,430294,38,4,30,4,40
Project_57,Web application security audit,GDPR,deep,161,379977,17,1,13,3,40
Project_58,Web application security audit,ISO 27001,deep,425,172305,36,5,21,10,40
Project_59,Web application security audit,ISO 27001,standard,54,440090,36,4,29,3,40
Project_60,Web application security audit,PCI-DSS,deep,405,62715,28,4,16,8,40
Project_61,Web application security audit,GDPR,deep,487,106232,4,4,0,0,60
Project_62,Web application security audit,GDPR,standard,484,245048,13,5,4,4,40
Project_63,Web application security audit,PCI-DSS,standard,92,412068,13,2,7,4,48
Project_64,Web application security audit,OWASP,deep,39,235776,23,5,7,11,40
Project_65,Web application security audit,PCI-DSS,deep,380,376475,25,1,9,15,40
Project_66,Web application security audit,ISO 27001,deep,11,478624,9,4,0,5,55
Project_67,Web application security audit,PCI-DSS,standard,262,14302,4,1,2,1,81
Project_68,Web application security audit,ISO 27001,standard,54,186008,5,0,2,3,89
Project_69,Web application security audit,ISO 27001,deep,233,324137,13,1,0,12,78
Project_70,Web application security audit,GDPR,standard,400,329917,14,3,9,2,40
Project_71,Web application security audit,GDPR,standard,389,109043,30,3,17,10,40
Project_72,Web application security audit,GDPR,deep,30,233665,16,0,10,6,54
Project_73,Web application security audit,PCI-DSS,standard,349,285160,33,4,1,28,40
Project_74,Web application security audit,ISO 27001,deep,151,144758,3,1,2,0,82
Project_75,Web application security audit,OWASP,deep,234,261036,10,4,0,6,54
Project_76,Web application security audit,PCI-DSS,standard,465,299595,40,0,7,33,40
Project_77,Web application security audit,OWASP,standard,218,179182,14,1,0,13,77
Project_78,Web application security audit,OWASP,standard,428,478957,25,1,2,22,60
Project_79,Web application security audit,OWASP,deep,331,296979,35,4,2,29,40
Project_80,Web application security audit,GDPR,deep,311,152108,5,3,0,2,68
Project_81,Web application security audit,OWASP,deep,243,288005,40,4,20,16,40
Project_82,Web application security audit,GDPR,deep,289,287327,18,0,7,11,61
Project_83,Web application security audit,OWASP,deep,186,169839,27,3,12,12,40
Project_84,Web application security audit,PCI-DSS,deep,5,71205,0,0,0,0,100
Project_85,Web application security audit,ISO 27001,standard,127,400361,29,5,24,0,40
Project_86,Web application security audit,ISO 27001,standard,360,462521,33,0,5,28,52
Project_87,Web application security audit,PCI-DSS,standard,419,104217,34,5,25,4,40
Project_88,Web application security audit,PCI-DSS,deep,155,240157,22,0,5,17,63
Project_89,Web application security audit,OWASP,deep,492,248247,6,4,1,1,55
Project_90,Web application security audit,PCI-DSS,deep,22,128972,23,3,7,13,40
Project_91,Web application security audit,PCI-DSS,deep,138,56448,29,5,18,6,40
Project_92,Web application security audit,ISO 27001,standard,400,471002,2,1,1,0,86
Project_93,Web application security audit,GDPR,standard,262,498900,17,0,9,8,56
Project_94,Web application security audit,GDPR,standard,356,464683,35,5,7,23,40
Project_95,Web application security audit,PCI-DSS,deep,394,63804,38,0,8,30,40
Project_96,Web application security audit,OWASP,deep,410,404058,23,2,16,5,40
Project_97,Web application security audit,OWASP,deep,414,433007,37,2,1,34,42
Project_98,Web application security audit,OWASP,standard,380,785,37,3,18,16,40
Project_99,Web application security audit,GDPR,standard,167,120069,23,5,14,4,40
Project_100,Web application security audit,ISO 27001,deep,297,79643,27,0,17,10,40
Project_101,Web application security audit,ISO 27001,deep,212,498246,2,0,1,1,95
Project_102,Web application security audit,OWASP,deep,440,339895,37,1,12,24,40
Project_103,Web application security audit,OWASP,standard,52,452394,28,1,7,20,42
Project_104,Web application security audit,ISO 27001,standard,314,326903,21,3,7,11,40
Project_105,Web application security audit,OWASP,standard,357,184966,28,4,13,11,40
Project_106,Web application security audit,ISO 27001,standard,13,357730,39,0,33,6,40
Project_107,Web application security audit,OWASP,standard,362,475718,16,1,11,4,42
Project_108,Web application security audit,ISO 27001,standard,480,274119,21,5,11,5,40
Project_109,Web application security audit,PCI-DSS,standard,64,359591,12,2,1,9,67
Project_110,Web application security audit,OWASP,deep,281,241391,9,4,4,1,43
Project_111,Web application security audit,OWASP,deep,282,8723,11,2,2,7,65
Project_112,Web application security audit,PCI-DSS,deep,134,32453,18,1,12,5,40
Project_113,Web application security audit,OWASP,standard,387,87976,30,1,3,26,52
Project_114,Web application security audit,ISO 27001,standard,302,199598,18,5,6,7,40
Project_115,Web application security audit,PCI-DSS,deep,333,20386,11,5,0,6,44
Project_116,Web application security audit,ISO 27001,standard,433,58693,23,4,7,12,40
Project_117,Web application security audit,ISO 27001,deep,387,216625,34,2,5,27,40
Project_118,Web application security audit,PCI-DSS,standard,390,417778,11,5,0,6,44
Project_119,Web application security audit,PCI-DSS,deep,251,438869,38,0,21,17,40
Project_120,Web application security audit,ISO 27001,standard,143,137902,37,0,10,27,40
Project_121,Web application security audit,PCI-DSS,deep,53,173252,36,5,23,8,40
Project_122,Web application security audit,ISO 27001,deep,69,305541,9,3,3,3,55
Project_123,Web application security audit,PCI-DSS,standard,271,101499,21,4,0,17,43
Project_124,Web application security audit,ISO 27001,deep,372,317449,23,0,13,10,40
Project_125,Web application security audit,OWASP,standard,429,418670,27,2,3,22,46
Project_126,Web application security audit,PCI-DSS,standard,50,160042,15,1,7,7,55
Project_127,Web application security audit,ISO 27001,deep,346,138422,3,3,0,0,70
Project_128,Web application security audit,PCI-DSS,standard,48,163509,18,0,15,3,40
Project_129,Web application security audit,ISO 27001,standard,456,490378,7,2,5,0,60
Project_130,Web application security audit,OWASP,standard,384,473287,8,0,7,1,71
Project_131,Web application security audit,ISO 27001,standard,476,285738,15,5,4,6,40
Project_132,Web application security audit,ISO 27001,deep,137,268431,29,0,6,23,53
Project_133,Web application security audit,GDPR,standard,406,65425,9,3,1,5,61
Project_134,Web application security audit,PCI-DSS,standard,112,86073,12,0,10,2,58
Project_135,Web application security audit,ISO 27001,deep,93,72903,16,1,1,14,72
Project_136,Web application security audit,ISO 27001,deep,257,64715,20,1,10,9,41
Project_137,Web application security audit,OWASP,standard,101,278429,2,0,2,0,92
Project_138,Web application security audit,OWASP,standard,76,144363,39,0,26,13,40
Project_139,Web application security audit,PCI-DSS,standard,21,226594,27,4,6,17,40
Project_140,Web application security audit,ISO 27001,standard,443,11663,25,3,0,22,48
